taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated	paired_fin
Beryx splendens	?	1	?	2	0	0	3
Zoarces americanus	1	?	1	?	1	0	3
Leiocassis brevirostris	1	?	2	?	1	0	3
Sprattus fuegensis	1	?	1	?	1	0	3
Naso thynnoides	1	1	1	1	1	1	3
Yirrkala gjellerupi	?	0	?	0	0	1	2
Diaphus basileusi	?	1	?	2	0	1	3
Pterygotrigla pauli	1	?	1	?	1	0	3
Careproctus nigricans	1	?	1	?	1	0	3
Lycodes macrolepis	1	?	1	?	1	0	3
Akarotaxis nudiceps	1	1	2	2	1	1	3
Lacustricola kassenjiensis	1	?	2	?	1	0	3
Patagonotothen guntheri	1	?	2	?	1	0	3
Sphoeroides andersonianus	1	1	1	2	1	1	3
Plagiotremus iosodon	1	0	1	0	1	0	2
Eupogonesthes xenicus	?	1	?	1	0	1	3
Pseudorhombus ctenosquamis	1	?	2	?	1	0	3
Ogcocephalus pumilus	1	?	2	?	1	0	3
Hypomesus transpacificus	1	?	2	?	1	0	3
Parapercis colias	1	?	2	?	1	0	3
Rosenblattichthys nemotoi	1	1	2	2	1	1	3
Cheilinus abudjubbe	1	1	2	2	0	0	3
Gladioglanis anacanthus	1	?	2	?	1	0	3
Pholis clemensi	1	?	2	?	1	0	3
Paraloricaria agastor	1	?	2	?	1	0	3
Chalixodytes tauensis	1	?	1	?	1	0	3
Enchelycore carychroa	0	0	0	0	1	1	0
Sigmistes smithi	1	?	1	?	1	0	3
Icelus mandibularis	1	?	1	?	1	0	3
Denticeps clupeoides	1	1	2	1	0	0	3
Poecilia reticulata	1	?	2	?	1	0	3
Festucalex erythraeus	?	0	?	0	0	1	2
Himantolophus albinares	1	0	1	0	1	1	2
Trichomycterus boylei	1	?	1	?	1	0	3
Sinogastromyzon puliensis	1	1	2	2	0	0	3
Rhytiodus microlepis	?	1	?	2	0	0	3
Careproctus comus	1	?	1	?	1	0	3
Pseudocaranx wrighti	1	?	1	?	1	0	3
Halichoeres hartzfeldii	1	?	1	?	1	0	3
Trachinotus cayennensis	1	?	1	?	1	0	3
Notoscopelus elongatus	?	1	?	2	0	1	3
Niobichthys ferrarisi	1	?	2	?	1	0	3
Alectis indica	1	?	1	?	1	0	3
Quassiremus evionthas	?	0	?	0	0	1	2
Takifugu pardalis	1	1	1	2	1	1	3
Lepidotrigla omanensis	1	?	1	?	1	0	3
Paraliparis australiensis	1	0	1	0	1	1	2
Caranx papuensis	1	?	1	?	1	0	3
Stenobrachius nannochir	?	1	?	2	0	1	3
Hypancistrus zebra	1	1	2	2	0	0	3
Noturus trautmani	1	?	2	?	1	0	3
Konosirus punctatus	1	1	1	2	1	0	3
Gymnothorax breedeni	0	0	0	0	1	1	0
Spratellomorpha bianalis	1	?	1	?	1	0	3
Limia garnieri	1	?	2	?	1	0	3
Eustomias woollardi	?	1	?	1	0	1	3
Xenoophorus captivus	1	?	1	?	1	0	3
Eustomias filifer	?	1	?	1	0	1	3
Cynoglossus kopsii	0	0	0	0	1	1	0
Coloconger eximia	1	0	1	0	1	1	2
Eustomias elongatus	?	1	?	1	0	1	3
Psednos whitleyi	1	?	1	?	1	0	3
Torquigener flavimaculosus	1	1	1	2	1	1	3
Aphyosemion campomaanense	1	?	2	?	1	0	3
Astyanax dnophos	1	?	2	?	1	0	3
Lavinia exilicauda	1	1	2	2	0	0	3
Pterocryptis burmanensis	1	?	1	?	1	0	3
Trichomycterus stawiarski	1	?	1	?	1	0	3
Omobranchus rotundiceps	1	?	1	?	1	0	3
Kali indica	1	?	2	?	1	0	3
Gorgasia cotroneii	0	0	0	0	1	1	0
Lepidotrigla argus	1	?	1	?	1	0	3
Hoplostethus atlanticus	?	1	?	2	0	1	3
Pseudochromis dixurus	1	1	1	1	1	1	3
Chiloglanis harbinger	1	?	2	?	1	0	3
Paraliparis diploprora	1	0	1	0	1	1	2
Lycodes ygreknotatus	1	?	1	?	1	0	3
Chaetostoma mollinasum	1	?	2	?	1	0	3
Hypostomus scaphyceps	1	?	2	?	1	0	3
Atractodenchelys robinsorum	?	0	?	0	0	1	2
Latropiscis purpurissatus	?	1	?	2	0	1	3
Xiphocheilus typus	1	?	1	?	1	0	3
Brachyglanis nocturnus	1	1	2	2	0	0	3
Rineloricaria quadrensis	1	?	2	?	1	0	3
Lycodes mucosus	1	?	1	?	1	0	3
Siluranodon auritus	1	1	2	2	0	0	3
Paramphilius teugelsi	1	?	2	?	1	0	3
Myrophis lepturus	?	0	?	0	0	1	2
Schizodon knerii	?	1	?	2	0	0	3
Austrolebias affinis	1	?	1	?	1	0	3
Halieutichthys aculeatus	1	?	2	?	1	0	3
Neenchelys microtretus	?	0	?	0	0	1	2
Dibranchus sparsus	1	?	2	?	1	0	3
Parauchenoglanis monkei	1	1	2	1	0	0	3
Harpagifer kerguelensis	1	?	2	?	1	0	3
Pteragogus pelycus	1	1	2	2	1	1	3
Acentronura tentaculata	?	0	?	0	0	1	2
Notropis anogenus	1	1	2	2	0	0	3
Krusensterniella pavlovskii	1	?	1	?	1	0	3
Dalophis boulengeri	?	0	?	0	0	1	2
Aulopus diactithrix	?	1	?	2	0	1	3
Lepidotrigla abyssalis	1	?	1	?	1	0	3
Hippocampus hendriki	?	0	?	0	0	1	2
Opsodoras morei	1	?	2	?	1	0	3
Cynolebias altus	1	?	1	?	1	0	3
Hypostomus argus	1	?	2	?	1	0	3
Ichthyapus ophioneus	?	0	?	0	0	1	2
Astroblepus festae	1	1	2	2	0	0	3
Megalaspis cordyla	1	?	1	?	1	0	3
Icelus spatula	1	?	1	?	1	0	3
Halichoeres melanochir	1	?	1	?	1	0	3
Synodus vityazi	?	1	?	2	0	1	3
Nemapteryx nenga	1	?	2	?	1	0	3
Ricola macrops	1	?	2	?	1	0	3
Achirus scutum	?	1	?	1	0	1	3
Schizodon fasciatus	1	1	2	1	0	0	3
Ancistrus brevipinnis	1	?	2	?	1	0	3
Harttiella crassicauda	1	?	2	?	1	0	3
Nanobagrus torquatus	1	?	2	?	1	0	3
Odax pullus	1	?	1	?	1	0	3
Anguilla celebesensis	1	0	1	0	1	1	2
Corydoras surinamensis	1	?	2	?	1	0	3
Platydoras armatulus	1	?	2	?	1	0	3
Brycinus lateralis	1	1	2	2	0	0	3
Melanostomias biseriatus	?	1	?	1	0	1	3
Lophius litulon	1	?	2	?	1	0	3
Cosmocampus retropinnis	?	0	?	0	0	1	2
Reganella depressa	1	?	2	?	1	0	3
Notropis nubilus	1	1	2	2	0	0	3
Rineloricaria aurata	1	?	2	?	1	0	3
Notropis petersoni	1	1	2	2	0	0	3
Aspidoras taurus	1	?	2	?	1	0	3
Neoplecostomus ribeirensis	1	?	2	?	1	0	3
Enchelycore ramosa	0	0	0	0	1	1	0
Mystus singaringan	1	?	2	?	1	0	3
Corydoras solox	1	?	2	?	1	0	3
Hemiarius harmandi	1	?	2	?	1	0	3
Holocentrus rufus	?	1	?	2	0	1	3
Acrochordonichthys guttatus	1	?	2	?	1	0	3
