taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Ariosoma_howensis	1	0	1	0	1	1
Ariosoma_megalops	1	0	1	0	1	1
Ariosoma_ophidiophthalmus	1	0	1	0	1	1
Ariosoma_bauchotae	1	0	1	0	1	1
Ariosoma_coquettei	1	0	1	0	1	1
Ariosoma_anale	1	0	1	0	1	1
Ariosoma_gnanadossi	1	0	1	0	1	1
Ariosoma_meeki	1	0	1	0	1	1
Ariosoma_shiroanago	1	0	1	0	1	1
Ariosoma_major	1	0	1	0	1	1
Ariosoma_scheelei	1	0	1	0	1	1
Ariosoma_prorigerum	1	0	1	0	1	1
Ariosoma_obud	1	0	1	0	1	1
Ariosoma_sereti	1	0	1	0	1	1
Ariosoma_sanzoi	1	0	1	0	1	1
Ariosoma_mellissii	1	0	1	0	1	1
Ophisoma_prorigerum	1	0	1	0	1	1
Ariosoma_sokotranum	1	0	1	0	1	1
Ariosoma_gilberti	1	0	1	0	1	1
Ariosoma_nigrimanum	1	0	1	0	1	1
Ariosoma_fasciatum	1	0	1	0	1	1
Ariosoma_sazonovi	1	0	1	0	1	1
Ariosoma_mauritianum	1	0	1	0	1	1
Ariosoma_balearicum	1	0	1	0	1	1
Ariosoma_anago	1	0	1	0	1	1
Pseudocheilinops_ataenia	1	1	2	2	1	1
Pseudocheilinus_citrinus	1	1	2	2	1	1
Pseudocheilinus_dispilus	1	1	2	2	1	1
Pseudocheilinus_tetrataenia	1	1	2	2	1	1
Pseudocheilinus_octotaenia	1	1	2	2	1	1
Pseudocheilinus_evanidus	1	1	2	2	1	1
Pseudocheilinus_ocellatus	1	1	2	2	1	1
Pseudocheilinus_hexataenia	1	1	2	2	1	1
Dionda_argentosa	1	?	2	?	1	0
Dionda_nigrotaeniata	1	?	2	?	1	0
Dionda_melanops	1	?	2	?	1	0
Dionda_serena	1	?	2	?	1	0
Dionda_diaboli	1	?	2	?	1	0
Dionda_episcopa	1	?	2	?	1	0
Labrus_bergylta	1	1	2	2	1	1
Labrus_cyaedus	1	1	2	2	1	1
Labrus_merula	1	1	2	2	1	1
Labrus_viridis	1	1	2	2	1	1
Labrus_mixtus	1	1	2	2	1	1
Psettodes_belcheri	1	1	2	2	1	1
Psettodes_bennettii	1	1	2	2	1	1
Pteragogus_cryptus	1	1	2	2	1	1
Pteragogus_enneacanthus	1	1	2	2	1	1
Pteragogus_flagellifer	1	1	2	2	1	1
Pteragogus_aurigarius	1	1	2	2	1	1
Pteragogus_taeniops	1	1	2	2	1	1
Pteragogus_pelycus	1	1	2	2	1	1
Pteragogus_guttatus	1	1	2	2	1	1
Elassoma_okefenokee	?	1	?	2	0	1
Elassoma_boehlkei	?	1	?	2	0	1
Elassoma_evergladei	?	1	?	2	0	1
Elassoma_okatie	?	1	?	2	0	1
Elassoma_alabamae	?	1	?	2	0	1
Elassoma_gilberti	?	1	?	2	0	1
Elassoma_evergladi	?	1	?	2	0	1
Heterocheirodon_yatai	?	1	?	2	0	1
Heterocheirodon_jacuiensis	?	1	?	2	0	1
Paracheilinus_walton	1	1	2	2	1	1
Paracheilinus_angulatus	1	1	2	2	1	1
Paracheilinus_carpenteri	1	1	2	2	1	1
Paracheilinus_mccoskeri	1	1	2	2	1	1
Paracheilinus_nursalim	1	1	2	2	1	1
Paracheilinus_hemitaeniatus	1	1	2	2	1	1
Paracheilinus_piscilineatus	1	1	2	2	1	1
Paracheilinus_filamentosus	1	1	2	2	1	1
Paracheilinus_octotaenia	1	1	2	2	1	1
Paracheilinus_cyaneus	1	1	2	2	1	1
Paracheilinus_attenuatus	1	1	2	2	1	1
Paracheilinus_togeanensis	1	1	2	2	1	1
Paracheilinus_rubricaudalis	1	1	2	2	1	1
Paracheilinus_lineopunctatus	1	1	2	2	1	1
Paracheilinus_flavianalis	1	1	2	2	1	1
Paracheilinus_bellae	1	1	2	2	1	1
Heterotis_niloticus	1	1	2	2	1	1
Plagiotremus_flavus	1	?	1	?	1	0
Petrocephalus_ansorgii	?	1	?	1	0	1
Petrocephalus_sauvagii	?	1	?	1	0	1
Petrocephalus_sullivani	?	1	?	1	0	1
Petrocephalus_balayi	?	1	?	1	0	1
Petrocephalus_keatingii	?	1	?	1	0	1
Petrocephalus_pellegrini	?	1	?	1	0	1
Petrocephalus_cunganus	?	1	?	1	0	1
Petrocephalus_binotatus	?	1	?	1	0	1
Petrocephalus_christyi	?	1	?	1	0	1
Petrocephalus_bovei	?	1	?	1	0	1
Petrocephalus_microphthalmus	?	1	?	1	0	1
Petrocephalus_simus	?	1	?	1	0	1
Petrocephalus_grandoculis	?	1	?	1	0	1
Petrocephalus_pallidomaculatus	?	1	?	1	0	1
Petrocephalus_catostoma	?	1	?	1	0	1
Petrocephalus_squalostoma	?	1	?	1	0	1
Petrocephalus_tenuicauda	?	1	?	1	0	1
Petrocephalus_bane	?	1	?	1	0	1
Petrocephalus_wesselsi	?	1	?	1	0	1
Petrocephalus_guttatus	?	1	?	1	0	1
Petrocephalus_gliroides	?	1	?	1	0	1
Petrocephalus_levequei	?	1	?	1	0	1
Petrocephalus_schoutedeni	?	1	?	1	0	1
Petrocephalus_hutereaui	?	1	?	1	0	1
Petrocephalus_soudanensis	?	1	?	1	0	1
Cyprinella_proserpina	1	?	2	?	1	0
Cyprinella_leedsi	1	?	2	?	1	0
Cyprinella_lepida	1	?	2	?	1	0
Cyprinella_stigmatura	1	?	2	?	1	0
Cyprinella_eurystoma	1	?	2	?	1	0
Cyprinella_callisema	1	?	2	?	1	0
Cyprinella_analostana	1	?	2	?	1	0
Cyprinella_bocagrande	1	?	2	?	1	0
Cyprinella_gibbsi	1	?	2	?	1	0
Cyprinella_rutila	1	?	2	?	1	0
Cyprinella_garmani	1	?	2	?	1	0
Cyprinella_alvarezdelvillari	1	?	2	?	1	0
Cyprinella_xanthicara	1	?	2	?	1	0
Cyprinella_panarcys	1	?	2	?	1	0
Polymixia_busakhini	?	1	?	2	0	1
Polymixia_salagomeziensis	?	1	?	2	0	1
Polymixia_sazonovi	?	1	?	2	0	1
Polymixia_fusca	?	1	?	2	0	1
Polymixia_japonica	?	1	?	2	0	1
Polymixia_longispina	?	1	?	2	0	1
Polymixia_berndti	?	1	?	2	0	1
Polymixia_nobilis	?	1	?	2	0	1
Polymixia_yuri	?	1	?	2	0	1
Velifer_hypselopterus	?	1	?	2	0	1
Melamphaes_eulepis	?	1	?	2	0	1
Melamphaes_janae	?	1	?	2	0	1
Melamphaes_parvus	?	1	?	2	0	1
Melamphaes_lugubris	?	1	?	2	0	1
Melamphaes_parini	?	1	?	2	0	1
Melamphaes_polylepis	?	1	?	2	0	1
Melamphaes_simus	?	1	?	2	0	1
Melamphaes_laeviceps	?	1	?	2	0	1
Melamphaes_ebelingi	?	1	?	2	0	1
Melamphaes_macrocephalus	?	1	?	2	0	1
Melamphaes_indicus	?	1	?	2	0	1
Melamphaes_typhlops	?	1	?	2	0	1
Melamphaes_leprus	?	1	?	2	0	1
Melamphaes_spinifer	?	1	?	2	0	1
Melamphaes_hubbsi	?	1	?	2	0	1
Melamphaes_pumilus	?	1	?	2	0	1
Melamphaes_longivelis	?	1	?	2	0	1
Melamphaes_danae	?	1	?	2	0	1
Melamphaes_microps	?	1	?	2	0	1
Melamphaes_acanthomus	?	1	?	2	0	1
Myctophum_fissunovi	?	1	?	2	0	1
Myctophum_aurolaternatum	?	1	?	2	0	1
Myctophum_ovcharovi	?	1	?	2	0	1
Myctophum_brachygnathum	?	1	?	2	0	1
Myctophum_punctatum	?	1	?	2	0	1
Myctophum_lunatum	?	1	?	2	0	1
Myctophum_spinosum	?	1	?	2	0	1
Myctophum_nitidulum	?	1	?	2	0	1
Myctophum_selenops	?	1	?	2	0	1
Myctophum_lychnobium	?	1	?	2	0	1
Myctophum_phengodes	?	1	?	2	0	1
Myctophum_americanum	?	1	?	2	0	1
Myctophum_orientale	?	1	?	2	0	1
Myctophum_asperum	?	1	?	2	0	1
Bunocephalus_sp._(Fink_and_Fink_1981)	1	1	2	1	1	1
Indonotothenia_cyanobrancha	1	?	2	?	1	0
Assiculus_punctatus	1	1	1	1	1	1
Chlidichthys_pembae	1	1	1	1	1	1
Chlidichthys_cacatuoides	1	1	1	1	1	1
