Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
9100	-141.533	-173.62	32.0871	0.09317336	0.01013606	0.3318805	0.001031592	0.006720062	0.01272222	0.02718469	0.04143821	0.140246	0.04427166	0.000568783	0.005336815	0.04310316	0.01094322	0.001575281	0.0218997
9200	-138.924	-172.211	33.2862	0.05975653	0.1620372	0.01600217	0.005947886	0.01363176	0.002507443	0.02544755	0.001480472	0.2401568	0.1236547	0.004237154	0.006087593	0.04756901	0.0005506096	9.559258e-05	0.02311166
9300	-135.14	-169.194	34.0539	0.09699906	0.1433373	0.1094287	0.0007770817	0.007090249	0.005430734	0.03630709	0.05940878	0.08580187	0.07760008	0.0021025	0.003321909	0.04509389	0.001856335	0.0003704785	0.0189629
9400	-134.466	-171.318	36.8511	0.007668473	0.09734297	0.07363801	0.004396467	0.004462514	0.007887251	0.00699962	0.1943974	0.0397609	0.04706291	0.003089481	0.002761304	0.04544787	0.001635453	0.002608319	0.01487137
9500	-140.511	-171.849	31.3379	0.1183422	0.1787177	0.0202753	0.007638978	0.01268867	0.001987089	0.03666204	0.08306233	0.1559278	0.1376543	0.0002059626	0.001175177	0.04613299	0.0006152705	0.005678339	0.02292575
9600	-139.953	-170.272	30.3189	0.06457324	0.0909586	0.06229017	0.007082595	0.009467722	0.004849053	0.004492799	0.1195734	0.2107806	0.1878671	0.0002492032	0.002669511	0.07813426	0.001706663	0.001647766	0.03429606
9700	-132.356	-167.622	35.2655	0.04286509	0.1031543	0.07883899	0.001642305	0.0007798427	0.007355276	0.00891044	0.2689262	0.0507407	0.01299564	0.001533217	0.001188716	0.0427302	6.738545e-05	0.002913746	0.008667998
9800	-142.419	-174.478	32.059	0.1732338	0.07571654	0.05455096	0.003720258	0.001609882	0.003193471	0.1002348	0.2247561	0.09910404	0.001049482	0.002407223	0.009384031	0.02968413	0.0001776247	0.002639398	0.01217603
9900	-134.391	-168.589	34.1987	0.06681121	0.03742087	0.2166179	0.002192024	0.005221724	0.008461595	0.01078912	0.1779835	0.0202474	0.06663303	0.001009447	0.0008148991	0.05399101	0.0008890517	0.002305465	0.01526387
10000	-133.164	-170.944	37.7805	0.01087289	0.0453709	0.06302882	0.006946598	0.007803777	0.008420322	0.01774632	0.1032904	0.09240803	0.07632154	0.0006219651	0.002745147	0.04764606	0.000350498	0.002898935	0.02108754
