Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
8400	-23.4373	-62.0671	38.6298	0.001457322	0.05100009	0.01862031	0.006694166	0.008027737	0.004336908	0.01020775	0.08524381	0.01853168	7.636504e-05	0.0923733	0.07236706	0.09345385	0.0003027711	0.001707497	0.0006927091
8500	-21.7542	-60.5576	38.8035	0.003778614	0.01799272	0.162993	0.005121946	0.02096938	0.02898118	0.01085911	0.08230116	0.01472301	5.442338e-05	0.00325466	0.008333473	0.09476262	0.000326534	0.001353266	0.0006075642
8600	-31.1126	-62.7765	31.6638	0.1042514	0.1022902	0.01855108	0.0170934	0.007051205	0.0333802	0.01438156	0.02106931	0.01426161	0.0005665195	0.08312018	0.3796715	0.01602288	0.0002096874	0.0004946584	0.0009784447
8700	-29.1124	-66.4611	37.3487	0.05820064	0.02551742	0.08677775	0.07238422	0.03366397	0.02187005	0.006373636	0.0849409	0.005162844	0.0007603055	0.02241636	0.06544178	0.04177035	0.0008265646	0.001906222	0.001140135
8800	-22.8642	-62.3146	39.4504	0.06053103	0.05851087	0.05667133	0.02459049	0.02330904	0.003041166	0.02461357	0.1054459	0.04285768	0.0006076543	0.0004956769	0.003015439	0.01729929	0.0003373861	0.00244114	0.0002974226
8900	-28.2845	-65.2586	36.9742	0.01692609	0.02553711	0.1155733	0.02510312	0.02053152	0.01369653	0.000998827	0.0812268	0.02059753	0.005181205	0.04550226	0.06907573	0.1055407	0.0002316431	0.0009977641	0.001157981
9000	-27.1745	-63.5362	36.3617	0.103759	0.09024573	0.01165172	0.01943502	0.006620937	0.008294453	0.009710062	0.00764159	0.07990871	0.005014263	0.01436492	0.1281242	0.08962594	2.237048e-05	0.001140886	0.002939589
9100	-21.2812	-61.2194	39.9382	0.00836877	0.06008581	0.02066286	0.02531219	0.005886732	0.04163573	0.007208545	0.1234596	0.01632188	0.0002071351	0.02450014	0.02611731	0.03778677	2.177953e-05	0.002056896	4.298526e-05
9200	-30.5182	-64.7123	34.1941	0.01630716	0.01764417	0.1512732	0.007934261	0.03037383	0.007666569	0.009565655	0.1244416	0.1502572	0.002198536	0.1119252	0.008094117	0.04499503	0.000887723	0.003198161	0.0001201709
9300	-30.4419	-62.4722	32.0303	0.2004508	0.05956847	0.02557544	0.04057513	0.01665811	0.01255877	0.05073141	0.02856462	0.1073904	0.0008603474	0.004570126	0.07994174	0.1640987	2.146643e-05	0.00138509	0.002122674
9400	-28.5577	-65.0483	36.4906	0.00385492	0.02939276	0.01183685	0.02724578	0.09549558	0.05329697	0.01138973	0.05317939	0.02803339	0.0004157791	0.009721476	0.1504221	0.094839	0.0003424313	0.0004812666	0.002108169
9500	-34.2808	-62.4326	28.1518	0.2389384	0.0003120053	0.05395059	0.0273278	0.03957047	0.00829368	0.005677636	0.2338751	0.1364023	2.091624e-05	0.006058821	0.1678555	0.06807288	7.989385e-05	0.0009974387	0.001562813
9600	-25.1823	-63.7366	38.5543	0.08391242	0.002068107	0.1085387	0.02506519	0.009693511	0.008658514	0.02108736	0.06479718	0.05285471	0.002086198	0.02525553	0.02524813	0.03526455	0.0002342661	0.003524864	0.0005817401
9700	-30.7442	-62.1353	31.3912	0.1683124	0.03490845	0.05054454	0.009846144	0.03273277	0.03973725	0.008461655	0.07595261	0.06482455	0.0002868449	0.03086006	0.261394	0.04434604	2.773376e-05	0.002222402	0.002570442
9800	-27.0792	-63.7758	36.6966	0.05122211	0.02060506	0.07257388	0.01291694	0.02183617	0.077605	0.01993427	0.0983074	0.05895103	0.0007438475	0.01692822	0.05759821	0.04892159	0.000562428	0.002549121	0.0004989345
9900	-27.634	-64.7939	37.16	0.0529994	0.02172215	0.1636937	0.004437408	0.009582784	0.03690706	0.04727802	0.04346245	0.04278217	0.001203879	0.00430617	0.06699339	0.0396775	0.001559722	0.001087775	0.0008939833
10000	-30.3622	-64.4554	34.0932	0.1492593	0.01303157	0.02762988	0.005720952	0.09165123	0.01849723	0.02956373	0.1105515	0.0571422	0.003804381	0.004704575	0.03867057	0.1379191	0.000193004	0.003168027	0.000420155
